epsilon,1.000000e-03,2.000000e-03,3.000000e-03,4.000000e-03,5.000000e-03
Robust Bound,88.12,75.88,58.88,38.25,26.38
Robustness Algorithm,90.00,76.50,59.62,38.88,26.38

epsilon,1.000000e-03,2.000000e-03,3.000000e-03,4.000000e-03,5.000000e-03
Robust Bound,0.0019,0.0018,0.0017,0.0018,0.0018
Robustness Algorithm,0.7752,1.6447,2.8022,4.2210,5.0718
