Model,Circuit (noise_p),ε,RA(%),VT(s),RA(%),VT(s)
iris,c_0,0.0001,100.00,0.0010,100.00,0.0010
iris,c_0,0.0003,100.00,0.0008,100.00,0.0008
iris,c_0,0.0005,100.00,0.0008,100.00,0.0008
iris,c_0,0.001,98.75,0.0008,100.00,0.3027
iris,c_0,0.003,98.75,0.0008,100.00,0.2457
iris,c_0,0.005,98.75,0.0008,100.00,0.2414
iris,c_1,0.0001,100.00,0.0008,100.00,0.0009
iris,c_1,0.0003,100.00,0.0008,100.00,0.0009
iris,c_1,0.0005,98.75,0.0008,100.00,0.2673
iris,c_1,0.001,98.75,0.0009,100.00,0.2608
iris,c_1,0.003,98.75,0.0009,100.00,0.2630
iris,c_1,0.005,95.00,0.0009,100.00,2.1054
iris,c_2 (bit-flip_0.0001),0.0001,100.00,0.0019,100.00,0.0019
iris,c_2 (bit-flip_0.0001),0.0003,100.00,0.0017,100.00,0.0017
iris,c_2 (bit-flip_0.0001),0.0005,98.75,0.0017,100.00,0.2607
iris,c_2 (bit-flip_0.0001),0.001,98.75,0.0018,100.00,0.2657
iris,c_2 (bit-flip_0.0001),0.003,98.75,0.0019,100.00,0.2615
iris,c_2 (bit-flip_0.0001),0.005,95.00,0.0018,100.00,2.0585
iris,c_2 (bit-flip_0.0005),0.0001,100.00,0.0019,100.00,0.0019
iris,c_2 (bit-flip_0.0005),0.0003,100.00,0.0018,100.00,0.0018
iris,c_2 (bit-flip_0.0005),0.0005,98.75,0.0018,100.00,0.2613
iris,c_2 (bit-flip_0.0005),0.001,98.75,0.0018,100.00,0.2632
iris,c_2 (bit-flip_0.0005),0.003,98.75,0.0018,100.00,0.2615
iris,c_2 (bit-flip_0.0005),0.005,95.00,0.0018,100.00,2.0613
iris,c_2 (bit-flip_0.001),0.0001,100.00,0.0019,100.00,0.0019
iris,c_2 (bit-flip_0.001),0.0003,100.00,0.0018,100.00,0.0018
iris,c_2 (bit-flip_0.001),0.0005,98.75,0.0018,100.00,0.2663
iris,c_2 (bit-flip_0.001),0.001,98.75,0.0018,100.00,0.2602
iris,c_2 (bit-flip_0.001),0.003,98.75,0.0018,100.00,0.2624
iris,c_2 (bit-flip_0.001),0.005,95.00,0.0018,100.00,2.0566
iris,c_2 (bit-flip_0.005),0.0001,100.00,0.0018,100.00,0.0018
iris,c_2 (bit-flip_0.005),0.0003,100.00,0.0017,100.00,0.0018
